Region,Nation,MonthYear,Account Type,Type,Count
Amnian Empire,,2019-01,,Total Orders by Region and Month,849
Amnian Empire,,2019-02,,Total Orders by Region and Month,718
Amnian Empire,,2019-03,,Total Orders by Region and Month,807
Amnian Empire,,2019-04,,Total Orders by Region and Month,779
Amnian Empire,,2019-05,,Total Orders by Region and Month,845
Amnian Empire,,2019-06,,Total Orders by Region and Month,788
Amnian Empire,,2019-07,,Total Orders by Region and Month,857
Amnian Empire,,2019-08,,Total Orders by Region and Month,825
Amnian Empire,,2019-09,,Total Orders by Region and Month,841
Amnian Empire,,2019-10,,Total Orders by Region and Month,839
Amnian Empire,,2019-11,,Total Orders by Region and Month,804
Amnian Empire,,2019-12,,Total Orders by Region and Month,807
Amnian Empire,,2020-01,,Total Orders by Region and Month,834
Amnian Empire,,2020-02,,Total Orders by Region and Month,797
Amnian Empire,,2020-03,,Total Orders by Region and Month,816
Amnian Empire,,2020-04,,Total Orders by Region and Month,806
Amnian Empire,,2020-05,,Total Orders by Region and Month,805
Amnian Empire,,2020-06,,Total Orders by Region and Month,801
Amnian Empire,,2020-07,,Total Orders by Region and Month,830
Amnian Empire,,2020-08,,Total Orders by Region and Month,818
Amnian Empire,,2020-09,,Total Orders by Region and Month,801
Amnian Empire,,2020-10,,Total Orders by Region and Month,867
Amnian Empire,,2020-11,,Total Orders by Region and Month,821
Amnian Empire,,2020-12,,Total Orders by Region and Month,831
Amnian Empire,,2021-01,,Total Orders by Region and Month,814
Amnian Empire,,2021-02,,Total Orders by Region and Month,726
Amnian Empire,,2021-03,,Total Orders by Region and Month,817
Amnian Empire,,2021-04,,Total Orders by Region and Month,846
Amnian Empire,,2021-05,,Total Orders by Region and Month,816
Amnian Empire,,2021-06,,Total Orders by Region and Month,826
Amnian Empire,,2021-07,,Total Orders by Region and Month,792
Amnian Empire,,2021-08,,Total Orders by Region and Month,834
Amnian Empire,,2021-09,,Total Orders by Region and Month,815
Amnian Empire,,2021-10,,Total Orders by Region and Month,849
Amnian Empire,,2021-11,,Total Orders by Region and Month,813
Amnian Empire,,2021-12,,Total Orders by Region and Month,930
Amnian Empire,,2022-01,,Total Orders by Region and Month,841
Amnian Empire,,2022-02,,Total Orders by Region and Month,783
Amnian Empire,,2022-03,,Total Orders by Region and Month,815
Amnian Empire,,2022-04,,Total Orders by Region and Month,828
Amnian Empire,,2022-05,,Total Orders by Region and Month,856
Amnian Empire,,2022-06,,Total Orders by Region and Month,861
Amnian Empire,,2022-07,,Total Orders by Region and Month,810
Amnian Empire,,2022-08,,Total Orders by Region and Month,825
Amnian Empire,,2022-09,,Total Orders by Region and Month,725
Amnian Empire,,2022-10,,Total Orders by Region and Month,819
Amnian Empire,,2022-11,,Total Orders by Region and Month,756
Amnian Empire,,2022-12,,Total Orders by Region and Month,871
Amnian Empire,,2023-01,,Total Orders by Region and Month,836
Amnian Empire,,2023-02,,Total Orders by Region and Month,717
